Uniprot accession	Primary gene name	Protein names	Gene names	PepCount	log2 fold change naive/primed	q-value	NAIVE_R1	NAIVE_R2	NAIVE_R3	PRIMED_A1	PRIMED_A2	PRIMED_E1	PRIMED_E2	Biological process	Molecular function	Cellular component
P25106	ACKR3	Atypical chemokine receptor 3 (C-X-C chemokine receptor type 7) (CXC-R7) (CXCR-7) (Chemokine orphan receptor 1) (G-protein coupled receptor 159) (G-protein coupled receptor RDC1 homolog) (RDC-1)	ACKR3 CMKOR1 CXCR7 GPR159 RDC1	3	4.825	0.000000	47242553.7	40234104.4	35243606.8	1334999.2	1708089.7	1339263.5	1380041.6	G protein-coupled receptor signaling pathway [GO:0007186]; angiogenesis [GO:0001525]; calcium-mediated signaling [GO:0019722]; cell adhesion [GO:0007155]; cell chemotaxis [GO:0060326]; chemokine-mediated signaling pathway [GO:0070098]; chemotaxis [GO:0006935]; immune response [GO:0006955]; negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage [GO:1902230]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of mesenchymal stem cell migration [GO:1905322]; receptor internalization [GO:0031623]; vasculogenesis [GO:0001570]; viral process [GO:0016032]	C-C chemokine binding [GO:0019957]; C-C chemokine receptor activity [GO:0016493]; C-X-C chemokine binding [GO:0019958]; C-X-C chemokine receptor activity [GO:0016494]; chemokine binding [GO:0019956]; coreceptor activity [GO:0015026]; scavenger receptor activity [GO:0005044]	cell surface [GO:0009986]; clathrin-coated pit [GO:0005905]; early endosome [GO:0005769]; endosome [GO:0005768]; external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; recycling endosome [GO:0055037]
Q6Q4G3	LVRN	Aminopeptidase Q (AP-Q) (APQ) (EC 3.4.11.-) (CHL2 antigen) (Laeverin)	LVRN AQPEP	28	4.801	0.000000	352090513.7	312793576.9	274096082.9	9393902.6	14592445.9	10540440.1	10776856.1	peptide catabolic process [GO:0043171]; proteolysis [GO:0006508]	metalloaminopeptidase activity [GO:0070006]; peptide binding [GO:0042277]; zinc ion binding [GO:0008270]	cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
O95274	LYPD3	Ly6/PLAUR domain-containing protein 3 (GPI-anchored metastasis-associated protein C4.4A homolog) (Matrigel-induced gene C4 protein) (MIG-C4)	LYPD3 C4.4A UNQ491/PRO1007	2	4.778	0.000000	24757313.8	19688261.4	15367602.2	581020.7	574689.5	915864.1	846853.3	cell-matrix adhesion [GO:0007160]	laminin binding [GO:0043236]	anchored component of plasma membrane [GO:0046658]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
Q14002	CEACAM7	Carcinoembryonic antigen-related cell adhesion molecule 7 (Carcinoembryonic antigen CGM2)	CEACAM7 CGM2	2	4.731	0.000000	13684126.0	13784962.5	13119111.9	269618.9	914814.8	448530.3	608839.3	0	0	anchored component of membrane [GO:0031225]; apical plasma membrane [GO:0016324]; extracellular region [GO:0005576]; plasma membrane [GO:0005886]
O95477	ABCA1	ATP-binding cassette sub-family A member 1 (ATP-binding cassette transporter 1) (ABC-1) (ATP-binding cassette 1) (Cholesterol efflux regulatory protein)	ABCA1 ABC1 CERP	111	4.688	0.000000	1795411199.3	2034305399.7	1963501825.1	73789804.8	73573188.5	66441771.7	86847175.0	"G protein-coupled receptor signaling pathway [GO:0007186]; adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; cellular response to cholesterol [GO:0071397]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to low-density lipoprotein particle stimulus [GO:0071404]; cellular response to retinoic acid [GO:0071300]; cholesterol efflux [GO:0033344]; cholesterol homeostasis [GO:0042632]; cholesterol metabolic process [GO:0008203]; endosomal transport [GO:0016197]; high-density lipoprotein particle assembly [GO:0034380]; interleukin-1 beta secretion [GO:0050702]; intracellular cholesterol transport [GO:0032367]; lipid transport [GO:0006869]; lysosome organization [GO:0007040]; negative regulation of cholesterol storage [GO:0010887]; negative regulation of macrophage derived foam cell differentiation [GO:0010745]; phagocytosis, engulfment [GO:0006911]; phospholipid efflux [GO:0033700]; phospholipid homeostasis [GO:0055091]; phospholipid translocation [GO:0045332]; platelet dense granule organization [GO:0060155]; positive regulation of cholesterol efflux [GO:0010875]; positive regulation of high-density lipoprotein particle assembly [GO:0090108]; protein lipidation [GO:0006497]; regulation of Cdc42 protein signal transduction [GO:0032489]; regulation of high-density lipoprotein particle assembly [GO:0090107]; regulation of lipid metabolic process [GO:0019216]; response to drug [GO:0042493]; response to laminar fluid shear stress [GO:0034616]; response to nutrient [GO:0007584]; reverse cholesterol transport [GO:0043691]"	ATP binding [GO:0005524]; ATPase activity [GO:0016887]; ATPase binding [GO:0051117]; ATPase-coupled transmembrane transporter activity [GO:0042626]; anion transmembrane transporter activity [GO:0008509]; apolipoprotein A-I binding [GO:0034186]; apolipoprotein A-I receptor activity [GO:0034188]; apolipoprotein binding [GO:0034185]; cholesterol binding [GO:0015485]; cholesterol transfer activity [GO:0120020]; high-density lipoprotein particle binding [GO:0008035]; lipid transporter activity [GO:0005319]; phosphatidylcholine floppase activity [GO:0090554]; phosphatidylserine floppase activity [GO:0090556]; phospholipid binding [GO:0005543]; phospholipid transporter activity [GO:0005548]; signaling receptor binding [GO:0005102]; small GTPase binding [GO:0031267]; syntaxin binding [GO:0019905]	Golgi apparatus [GO:0005794]; endocytic vesicle [GO:0030139]; endoplasmic reticulum membrane [GO:0005789]; endosome [GO:0005768]; external side of plasma membrane [GO:0009897]; integral component of plasma membrane [GO:0005887]; intracellular membrane-bounded organelle [GO:0043231]; membrane raft [GO:0045121]; perinuclear region of cytoplasm [GO:0048471]; phagocytic vesicle [GO:0045335]; plasma membrane [GO:0005886]
P78380	OLR1	"Oxidized low-density lipoprotein receptor 1 (Ox-LDL receptor 1) (C-type lectin domain family 8 member A) (Lectin-like oxidized LDL receptor 1) (LOX-1) (Lectin-like oxLDL receptor 1) (hLOX-1) (Lectin-type oxidized LDL receptor 1) [Cleaved into: Oxidized low-density lipoprotein receptor 1, soluble form]"	OLR1 CLEC8A LOX1	2	4.661	0.000000	10872384.2	10363289.2	4962578.9	326436.1	277852.0	415817.2	298118.2	blood circulation [GO:0008015]; cell adhesion [GO:0007155]; inflammatory response [GO:0006954]; leukocyte migration [GO:0050900]; neutrophil degranulation [GO:0043312]; proteolysis [GO:0006508]	carbohydrate binding [GO:0030246]; identical protein binding [GO:0042802]	extracellular region [GO:0005576]; integral component of plasma membrane [GO:0005887]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; membrane raft [GO:0045121]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]; specific granule membrane [GO:0035579]; tertiary granule membrane [GO:0070821]
P34910	EVI2B	Protein EVI2B (Ecotropic viral integration site 2B protein homolog) (EVI-2B) (CD antigen CD361)	EVI2B EVDB	7	4.644	0.000000	141912207.3	103814794.4	79468741.4	3450919.0	4479816.2	4302802.8	4743177.7	myeloid cell development [GO:0061515]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell cycle arrest [GO:0071157]; positive regulation of granulocyte differentiation [GO:0030854]; positive regulation of neutrophil differentiation [GO:0045660]; regulation of stem cell division [GO:2000035]	0	integral component of plasma membrane [GO:0005887]
P10696	ALPG	"Alkaline phosphatase, placental-like (EC 3.1.3.1) (ALP-1) (Alkaline phosphatase Nagao isozyme) (Germ cell alkaline phosphatase) (GCAP) (Placental alkaline phosphatase-like) (PLAP-like)"	ALPPL2 ALPPL	25	4.638	0.000000	4023454207.3	3419843536.5	2793437039.2	160191495.6	180816371.6	127399528.5	91566927.0	0	alkaline phosphatase activity [GO:0004035]; metal ion binding [GO:0046872]	anchored component of membrane [GO:0031225]; extracellular region [GO:0005576]; plasma membrane [GO:0005886]
P22607	FGFR3	Fibroblast growth factor receptor 3 (FGFR-3) (EC 2.7.10.1) (CD antigen CD333)	FGFR3 JTK4	16	4.625	0.000000	349923751.9	337171401.3	337474303.2	9761692.7	13872352.8	16916457.8	15998539.3	MAPK cascade [GO:0000165]; bone maturation [GO:0070977]; bone mineralization [GO:0030282]; bone morphogenesis [GO:0060349]; cell-cell signaling [GO:0007267]; chondrocyte differentiation [GO:0002062]; chondrocyte proliferation [GO:0035988]; endochondral bone growth [GO:0003416]; endochondral ossification [GO:0001958]; fibroblast growth factor receptor apoptotic signaling pathway [GO:1902178]; fibroblast growth factor receptor signaling pathway [GO:0008543]; negative regulation of developmental growth [GO:0048640]; peptidyl-tyrosine phosphorylation [GO:0018108]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of phosphatidylinositol 3-kinase activity [GO:0043552]; positive regulation of phospholipase activity [GO:0010518]; positive regulation of protein kinase B signaling [GO:0051897]; positive regulation of tyrosine phosphorylation of STAT protein [GO:0042531]; protein autophosphorylation [GO:0046777]; skeletal system development [GO:0001501]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]	ATP binding [GO:0005524]; fibroblast growth factor binding [GO:0017134]; fibroblast growth factor-activated receptor activity [GO:0005007]; identical protein binding [GO:0042802]; protein tyrosine kinase activity [GO:0004713]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	Golgi apparatus [GO:0005794]; cell surface [GO:0009986]; endoplasmic reticulum [GO:0005783]; extracellular region [GO:0005576]; integral component of plasma membrane [GO:0005887]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]; transport vesicle [GO:0030133]
Q92887	ABCC2	Canalicular multispecific organic anion transporter 1 (ATP-binding cassette sub-family C member 2) (Canalicular multidrug resistance protein) (Multidrug resistance-associated protein 2)	ABCC2 CMOAT CMOAT1 CMRP MRP2	32	4.599	0.000000	132836510.1	92005848.8	72546607.6	3941087.0	4249317.0	3693562.7	3988467.7	benzylpenicillin metabolic process [GO:1901086]; bile acid and bile salt transport [GO:0015721]; canalicular bile acid transport [GO:0015722]; cellular chloride ion homeostasis [GO:0030644]; cellular response to dexamethasone stimulus [GO:0071549]; cellular response to interleukin-1 [GO:0071347]; cellular response to interleukin-6 [GO:0071354]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to tumor necrosis factor [GO:0071356]; drug transmembrane transport [GO:0006855]; female pregnancy [GO:0007565]; mercury ion transport [GO:0015694]; prostaglandin transport [GO:0015732]; response to arsenic-containing substance [GO:0046685]; response to estrogen [GO:0043627]; response to glucagon [GO:0033762]; response to heat [GO:0009408]; response to methotrexate [GO:0031427]; response to oxidative stress [GO:0006979]; thyroid hormone transport [GO:0070327]; transmembrane transport [GO:0055085]	ATP binding [GO:0005524]; ATPase activity [GO:0016887]; ATPase-coupled transmembrane transporter activity [GO:0042626]; ATPase-coupled xenobiotic transmembrane transporter activity [GO:0008559]; bilirubin transmembrane transporter activity [GO:0015127]; organic anion transmembrane transporter activity [GO:0008514]; protein domain specific binding [GO:0019904]	apical plasma membrane [GO:0016324]; brush border membrane [GO:0031526]; cell surface [GO:0009986]; integral component of plasma membrane [GO:0005887]; intercellular canaliculus [GO:0046581]; membrane [GO:0016020]; plasma membrane [GO:0005886]
P34972	CNR2	Cannabinoid receptor 2 (CB-2) (CB2) (hCB2) (CX5)	CNR2 CB2A CB2B	9	4.569	0.000000	348927566.9	421441916.1	344071491.3	15633291.4	18041224.9	13521439.0	15461198.2	"G protein-coupled receptor signaling pathway [GO:0007186]; G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger [GO:0007187]; immune response [GO:0006955]; inflammatory response [GO:0006954]; leukocyte chemotaxis [GO:0030595]; negative regulation of action potential [GO:0045759]; negative regulation of inflammatory response [GO:0050728]; negative regulation of mast cell activation [GO:0033004]; negative regulation of nitric-oxide synthase activity [GO:0051001]; negative regulation of synaptic transmission, GABAergic [GO:0032229]; response to amphetamine [GO:0001975]; response to lipopolysaccharide [GO:0032496]; sensory perception of pain [GO:0019233]"	cannabinoid receptor activity [GO:0004949]	dendrite [GO:0030425]; extrinsic component of cytoplasmic side of plasma membrane [GO:0031234]; integral component of plasma membrane [GO:0005887]; perikaryon [GO:0043204]; plasma membrane [GO:0005886]
P98164	LRP2	Low-density lipoprotein receptor-related protein 2 (LRP-2) (Glycoprotein 330) (gp330) (Megalin)	LRP2	106	4.550	0.000000	316521502.9	448691401.4	342144740.7	13478770.7	27892524.2	14301615.5	10956379.0	aorta development [GO:0035904]; cell population proliferation [GO:0008283]; coronary artery morphogenesis [GO:0060982]; endocytosis [GO:0006897]; folate import across plasma membrane [GO:1904447]; forebrain development [GO:0030900]; lipid metabolic process [GO:0006629]; male gonad development [GO:0008584]; membrane organization [GO:0061024]; metal ion transport [GO:0030001]; negative regulation of BMP signaling pathway [GO:0030514]; negative regulation of apoptotic process [GO:0043066]; neural tube closure [GO:0001843]; neuron projection arborization [GO:0140058]; outflow tract septum morphogenesis [GO:0003148]; positive regulation of lysosomal protein catabolic process [GO:1905167]; positive regulation of neurogenesis [GO:0050769]; positive regulation of oligodendrocyte progenitor proliferation [GO:0070447]; positive regulation of protein kinase B signaling [GO:0051897]; pulmonary artery morphogenesis [GO:0061156]; receptor-mediated endocytosis [GO:0006898]; retinoid metabolic process [GO:0001523]; secondary heart field specification [GO:0003139]; sensory perception of sound [GO:0007605]; vagina development [GO:0060068]; ventricular compact myocardium morphogenesis [GO:0003223]; ventricular septum development [GO:0003281]; vitamin D metabolic process [GO:0042359]	SH3 domain binding [GO:0017124]; calcium ion binding [GO:0005509]; chaperone binding [GO:0051087]; drug binding [GO:0008144]	Golgi apparatus [GO:0005794]; apical plasma membrane [GO:0016324]; axon [GO:0030424]; brush border membrane [GO:0031526]; clathrin-coated pit [GO:0005905]; clathrin-coated vesicle membrane [GO:0030665]; dendrite [GO:0030425]; endocytic vesicle [GO:0030139]; endoplasmic reticulum [GO:0005783]; endosome lumen [GO:0031904]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]
P13796	LCP1	Plastin-2 (L-plastin) (LC64P) (Lymphocyte cytosolic protein 1) (LCP-1)	LCP1 PLS2	21	4.525	0.000000	107250413.3	130017394.4	111680605.4	5687564.5	6754813.4	4538246.2	3683620.4	T cell activation involved in immune response [GO:0002286]; actin filament bundle assembly [GO:0051017]; actin filament network formation [GO:0051639]; animal organ regeneration [GO:0031100]; cell migration [GO:0016477]; extracellular matrix disassembly [GO:0022617]; interleukin-12-mediated signaling pathway [GO:0035722]; positive regulation of podosome assembly [GO:0071803]; protein kinase A signaling [GO:0010737]; regulation of intracellular protein transport [GO:0033157]	GTPase binding [GO:0051020]; actin binding [GO:0003779]; actin filament binding [GO:0051015]; calcium ion binding [GO:0005509]; identical protein binding [GO:0042802]; integrin binding [GO:0005178]	actin cytoskeleton [GO:0015629]; actin filament [GO:0005884]; actin filament bundle [GO:0032432]; cell junction [GO:0030054]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; filopodium [GO:0030175]; focal adhesion [GO:0005925]; phagocytic cup [GO:0001891]; plasma membrane [GO:0005886]; podosome [GO:0002102]; ruffle [GO:0001726]; ruffle membrane [GO:0032587]
